date,ticker,entry_exit_flag,weight,capital_invested,stock_return,total_capital,portfolio_return,transaction_cost_usd,is_signal_day,metric_name,metric_value,domestic_mcap_rank,global_marketcap_rank,market_cap,price,close_adj,close_unadj,volume,avg_10d_dollar_volume,vol_20d,vol_60d,sector,fcf_yield_ttm,net_debt_to_mcap,revenue_quarterly,revenue_screen_ratio_max
2022-01-31,GILD,0,0.1,99738805.97014925,0.9969390878481788,998089814.585673,1.0030057034553586,0.0,False,vol_60d,0.15369840559505216,98.0,123.0,87018836063.51971,68.68,58.806,68.68,9219000.0,699851595.0,0.17753437547512596,0.15369840559505216,Healthcare,0.10906834002091237,0.2758343606838931,7421000000.0,61.42964602853438
2022-01-31,AMGN,0,0.1,99127199.59778781,1.0067760848836502,998089814.585673,1.0030057034553586,0.0,False,vol_60d,0.17309932464775443,66.0,81.0,129026479812.66635,227.14,197.164,227.14,4479000.0,701318089.0,0.16655400808523638,0.17309932464775443,Healthcare,0.06076272104286579,0.20843983352198356,6706000000.0,50.557601974777796
2022-02-01,SC,0,0.1,100000000.0,,1001089776.5901313,0.9984598165878508,0.0,False,,,,,,,,,,,,,,,,,
2022-02-01,WTW,0,0.1,102172469.83952568,1.0074117225309196,1001089776.5901313,0.9984598165878508,0.0,False,vol_60d,0.17728595284331278,310.0,378.0,29519947238.59103,236.11,223.16,236.11,706000.0,259690123.0,0.21645404778889116,0.17728595284331278,Financial Services,0.07594864522891367,0.11060122519692017,1973000000.0,15.808042513299236
2022-02-01,AMCR,0,0.1,102177251.40416941,0.9942765379230831,1001089776.5901313,0.9984598165878508,0.0,False,vol_60d,0.16863652201922594,438.0,524.0,18895417963.84542,61.0,48.572,12.2,1725000.0,105389700.0,0.16627308526256615,0.16863652201922594,Consumer Cyclical,0.052023194294028144,0.3438226263882191,3420000000.0,17.545640392353388
2022-02-01,LMT,0,0.1,98438296.97000957,1.0008529144640321,1001089776.5901313,0.9984598165878508,0.0,False,vol_60d,0.15271492580482998,82.0,103.0,105393250423.21837,387.01,343.528,387.01,1951000.0,1038682904.0,0.19537681278642907,0.15271492580482998,Industrials,0.07305021876717727,0.07655769910860974,17729000000.0,190.25778755854202
2022-02-01,ABBV,0,0.1,99332904.40553993,1.0118292766073498,1001089776.5901313,0.9984598165878508,0.0,False,vol_60d,0.16097741008914299,25.0,29.0,244757745179.96878,137.0,117.336,137.0,7401000.0,1171652866.0,0.15630278261233108,0.16097741008914299,Healthcare,0.08856512378826273,0.33269564833197757,14342000000.0,70.93681452291253
2022-02-01,MO,0,0.1,100316201.14830945,0.9972350485248983,1001089776.5901313,0.9984598165878508,0.0,False,vol_60d,0.1626875601806966,90.0,112.0,94811701567.31633,50.64,36.167,50.64,7128000.0,471927907.0,0.17899012042442575,0.1626875601806966,Consumer Defensive,0.08555905933446915,0.3073524205513047,6786000000.0,445.7687793336847
2022-02-01,PM,0,0.1,99738995.90188134,1.0062994363662199,1001089776.5901313,0.9984598165878508,0.0,False,vol_60d,0.17583618419384955,52.0,61.0,162904124824.37708,103.25,84.452,103.25,8047000.0,692548698.0,0.17002568825881212,0.17583618419384955,Consumer Defensive,0.06444281267474126,0.1666528522754607,8122000000.0,81.71754677773652
2022-02-01,GD,0,0.1,100023623.66474938,1.005683743569206,1001089776.5901313,0.9984598165878508,0.0,False,vol_60d,0.17874945827401673,147.0,182.0,59772802856.22523,212.87,194.766,212.87,1372000.0,314346448.0,0.1534642218656675,0.17874945827401673,Industrials,0.0748668254818828,0.18323647735011642,9568000000.0,93.99268001747308
2022-02-01,GILD,0,0.1,99433514.24694708,0.9612970354450244,1001089776.5901313,0.9984598165878508,0.0,False,vol_60d,0.15088834423216466,101.0,128.0,86752479050.77556,68.47,58.626,68.47,10293000.0,707257701.0,0.17731255472268084,0.15088834423216466,Healthcare,0.10940321364701279,0.2758343606838931,7421000000.0,61.42964602853438
2022-02-01,AMGN,0,0.1,99798893.91654097,1.0010931989924434,1001089776.5901313,0.9984598165878508,0.0,False,vol_60d,0.17041862049651466,66.0,81.0,129900774192.11554,228.68,198.5,228.68,2479000.0,671514144.0,0.1660910464915529,0.17041862049651466,Healthcare,0.06035375884985185,0.20843983352198356,6706000000.0,50.557601974777796
2022-02-02,SC,0,0.1,100000000.0,,999547914.722155,0.9928938621504195,0.0,False,,,,,,,,,,,,,,,,,
2022-02-02,WTW,0,0.1,102929743.836275,0.9851610664816248,999547914.722155,0.9928938621504195,0.0,False,vol_60d,0.17785662451724904,309.0,377.0,29738740896.65085,237.86,224.814,237.86,1136000.0,260022251.0,0.21284824907768982,0.17785662451724904,Financial Services,0.07538987638351871,0.11060122519692017,1973000000.0,15.808042513299236
2022-02-02,AMCR,0,0.1,101592443.78063405,0.9694993166853025,999547914.722155,0.9928938621504195,0.0,False,vol_60d,0.16903941035868614,442.0,528.0,18787270755.70186,60.65,48.294,12.13,2263000.0,112121760.0,0.1587199465957531,0.16903941035868614,Consumer Cyclical,0.05232266106037055,0.3438226263882191,3420000000.0,17.545640392353388
