date,ticker,entry_exit_flag,weight,capital_invested,stock_return,total_capital,portfolio_return,transaction_cost_usd,is_signal_day,metric_name,metric_value,domestic_mcap_rank,global_marketcap_rank,market_cap,price,close_adj,close_unadj,volume,avg_10d_dollar_volume,vol_20d,vol_60d,sector,fcf_yield_ttm,net_debt_to_mcap,revenue_quarterly,revenue_screen_ratio_max
2022-01-03,CROX,1,0.1,100000000.0,1.00015138899402,1000000000.0,0.9821347236064272,50000.0,True,signal_70d_return,-0.18950920245398795,821,963,7774328428.857807,132.11,132.11,132.11,1378708.0,317332474.891,0.653991305369757,0.5392947354907627,Consumer Cyclical,0.053877837016147116,0.05115462873663816,625919000,3.2202619839914415
2022-01-03,CRSP,1,0.1,100000000.0,0.9244068652195861,1000000000.0,0.9821347236064272,50000.0,True,signal_70d_return,-0.3464742268041233,955,1118,6063996627.098266,79.24,79.24,79.24,1029878.0,109676896.81300001,0.6592127821982802,0.5513797339190364,Healthcare,0.07668820228591203,-0.11101005105054458,824000,4.477554937218603
2022-01-03,PSKY,1,0.1,100000000.0,1.0251285567363728,1000000000.0,0.9821347236064272,50000.0,True,signal_70d_return,-0.18868554263781467,426,512,21042014952.236813,32.24,29.17,32.24,19196000.0,416678122.0,0.40742899800344945,0.34694775423960994,Communication Services,0.04937740051788871,0.6201231648151785,6610000000,121.03619235328306
2022-01-03,NVAX,1,0.1,100000000.0,0.9688593421973407,1000000000.0,0.9821347236064272,50000.0,True,signal_70d_return,-0.44461717839098336,667,786,10804393631.816698,142.9,142.9,142.9,6598108.0,1327174058.653,1.353189940273885,1.173236450764645,Healthcare,0.04198773345910769,-0.12626543662264697,178844000,2.256452039898097
2022-01-03,BIIB,1,0.1,100000000.0,0.9901286147292537,1000000000.0,0.9821347236064272,50000.0,True,signal_70d_return,-0.1673260572987718,269,331,35862386707.82654,244.14,244.14,244.14,1640647.0,509020443.042,0.460505667857809,0.34831308859535515,Healthcare,0.05925707112896148,0.15520776549748722,2778900000,20.81544660280281
2022-01-03,LUV,1,0.1,100000000.0,1.0150062834191658,1000000000.0,0.9821347236064272,50000.0,True,signal_70d_return,-0.15902356134861273,356,430,26044003531.65604,44.0,40.583,44.0,10571000.0,352136686.0,0.33018264088461635,0.35575161293193774,Industrials,0.0408539339470879,-0.00585740553599842,4679000000,42.185185718748
2022-01-03,PENN,1,0.1,100000000.0,0.9828199052132702,1000000000.0,0.9821347236064272,50000.0,True,signal_70d_return,-0.3301587301587299,774,910,8584209620.943554,50.64,50.64,50.64,4268393.0,180766352.815,0.5906392478286162,0.7090677392057243,Consumer Cyclical,0.08276824907287197,0.9115091696831219,1511800000,7.999042245188397
2022-01-03,MRNA,1,0.1,100000000.0,0.9915337162305892,1000000000.0,0.9821347236064272,50000.0,True,signal_70d_return,-0.4829520457545097,96,118,95300911321.7307,235.05,235.05,235.05,11785615.0,2639079809.682,0.8077860159120515,0.9639157768289127,Healthcare,0.11948456569904298,-0.04521701161247885,4969000000,24.257460443681612
2022-01-03,HOOD,1,0.1,100000000.0,0.9436008676789587,1000000000.0,0.9821347236064272,50000.0,True,signal_70d_return,-0.5986068785372224,517,617,15852976925.190737,18.44,18.44,18.44,16078795.0,244377284.50200003,0.7509290682191317,0.6346167356391315,Financial Services,0.11631405310821864,-0.35453718514780524,364923000,2.7999846298897553
2022-01-03,RH,1,0.1,100000000.0,0.9847116956457126,1000000000.0,0.9821347236064272,50000.0,True,signal_70d_return,-0.2155171157517376,639,757,11557038659.10963,538.32,538.32,538.32,348761.0,174640696.834,0.45430336249924314,0.3591498862116417,Consumer Cyclical,0.04163583891974895,0.09770001970000941,1006428000,4.8813882564483695
2022-01-04,CHGG,1,0.1,98213472.36064272,0.9774106540795684,982134723.6064272,0.9500160499484832,49106.73618032136,True,signal_70d_return,-0.5928620452985585,1207,1392,4299140210.089867,29.66,29.66,29.66,5244017.0,92043041.76099999,0.423464442005252,1.444999209521265,Consumer Defensive,0.04040435796728039,0.10740461609984098,171942000,1.0528567930661064
