our_stage1_rank,ticker,category,sector,fcf_yield_ttm,fcf_yield_q_ann,signal_70d_return,stage2_rank,net_debt_to_mcap,domestic_mcap_rank,global_marketcap_rank,marketcap_ffill,avg_10d_dollar_volume,combined_10d_dollar_volume,revenue_screen_ratio_max,revenue_quarterly,close_price,close_adj_price
1,T1,Domestic Common Stock,Communication Services,0.5324706506798553,0.4914389156302302,0.062534314263754,53.0,0.6964124898825129,150,175,16986851741.877977,127127327.0,127127327.0,351.2062928663612,8649000000,21.25,21.25
2,PFG,Domestic Common Stock Primary Class,Financial Services,0.40913921764230443,0.06675614784274865,0.1515798462852267,115.0,0.45286349734004466,221,254,11636381443.546392,43462272.0,43462272.0,46.27665200049701,2266100000,36.03,36.03
3,ETFC,Domestic Common Stock,Financial Services,0.36906113056423245,0.004351040217214231,0.41086550952832135,196.0,0.7029683822381789,426,470,5417555072.633197,115972379.0,115972379.0,8.503273174042777,397705000,14.8,148.0
4,UNM,Domestic Common Stock Primary Class,Financial Services,0.31452605870864925,0.34953080692632643,0.007324381311729855,30.0,0.5505166069310627,475,520,4645084117.985113,34996903.0,34996903.0,52.52120658716309,2663200000,15.69,15.69
5,PVN,Domestic Common Stock,Financial Services,0.3135400647135687,-0.10080731002675938,0.01193317422434359,33.0,0.2510509306734233,561,612,3691716403.316505,38605278.9,38605278.9,19.60724368155715,427611000,12.72,12.72
6,EG,Domestic Common Stock,Financial Services,0.29831846433102455,0.4039255014324606,0.10242188579436595,79.0,0.1306551796370066,464,509,4874978165.569606,30597707.0,30597707.0,18.439719946363855,1119941000,87.49,87.49
7,MET,Domestic Common Stock Primary Class,Financial Services,0.29052204541291665,0.2452780788739451,0.15231113826104736,118.0,0.13904353872733546,100,116,25815596848.5638,61974661.0,61974661.0,226.0820489437472,8816000000,33.96,33.96
8,XL1,Domestic Common Stock,Financial Services,0.2900337652744342,0.2737795172989425,0.018445669973084167,37.0,-0.015677497589503993,233,267,10977314992.9197,105011143.8,105011143.8,41.26482430926213,1969332000,79.45,79.45
9,CB,Domestic Common Stock,Financial Services,0.2841196450953492,0.347021192561092,0.2696675709228016,176.0,0.1991940321167799,208,237,12220971199.77304,48903009.0,48903009.0,43.993373982959504,2666682000,43.59,43.59
10,JHF,Domestic Common Stock,Financial Services,0.2784254528761572,0.13784554497697277,0.22527621398681386,161.0,0.12387691425411619,215,245,11885766785.380669,42118781.1,42118781.1,66.62983450934513,2430100000,40.7,40.7
11,AFCI,Domestic Common Stock,Technology,0.26648832092455393,-0.09409981655822708,-0.006647278770252951,23.0,-0.04559941045225328,868,928,2078346240.7600334,59095199.037,59095199.037,2.3023808439274367,85214000,23.91,23.91
12,PRU,Domestic Common Stock Primary Class,Financial Services,0.2325411429791728,0.27913146906590913,0.1830014462120364,138.0,0.7113757582424748,103,120,24361280448.79945,54796582.0,54796582.0,122.72982370530846,6704000000,44.47,44.47
13,CB1,Domestic Common Stock,Financial Services,0.23240277793501185,0.3594185501944112,0.06451361564533076,56.0,0.2304082106171049,188,216,13384951882.416239,84255038.2,84255038.2,48.52536216275996,2947200000,70.9,35.45
14,SAF2,Domestic Common Stock,Financial Services,0.22866222664848335,0.34721802586968653,0.21763602251407144,159.0,0.33222433906449617,410,452,5669060513.404206,37249030.75699999,37249030.75699999,37.56544627355513,1780000000,40.72,40.72
15,FITB,Domestic Common Stock Primary Class,Financial Services,0.20105696010966012,0.540875701016197,-0.030424093423478404,18.0,0.6233842495225316,78,92,32627917961.268383,129156768.0,129156768.0,21.673065664013844,1296088000,57.06,57.06
16,TAP.B,Domestic Common Stock Primary Class,Financial Services,0.1987309537584438,0.23150967602831665,0.1703646036071107,129.0,0.20471148495075767,135,159,18216085272.756294,27667532.0,77388810.8,71.71792528497957,3745500000,18.04,18.04
17,FNF1,Domestic Common Stock,Financial Services,0.18937780783798464,0.2299246918549841,0.40974903474903424,195.0,0.008677587996046681,413,456,5622084298.868134,34161423.989,34161423.989,36.72350079628244,2230411000,37.718,37.718
