our_stage1_rank,ticker,category,sector,fcf_yield_ttm,fcf_yield_q_ann,signal_70d_return,stage2_rank,net_debt_to_mcap,domestic_mcap_rank,global_marketcap_rank,marketcap_ffill,avg_10d_dollar_volume,combined_10d_dollar_volume,revenue_screen_ratio_max,revenue_quarterly,close_price,close_adj_price
39,T,Domestic Common Stock Primary Class,Communication Services,0.11667300986352369,0.09867988631419425,0.1130150958792322,146.0,0.17080463825356215,23,26,81475570152.16702,217961004.0,217961004.0,570.4775600832256,10239000000,24.61,24.61
40,CAG,Domestic Common Stock,Consumer Defensive,0.1153718418996266,0.04318770670170686,0.17221108884435465,174.0,0.4505603551048202,167,194,13846532860.156845,37875880.0,37875880.0,157.43176258715815,4393700000,25.51,25.51
41,MAY1,Domestic Common Stock,Consumer Cyclical,0.11468710442682367,0.0009812800378765662,0.015978442386519243,71.0,0.5170402092991541,280,316,8152616675.369798,48566032.6,48566032.6,103.60051911279548,2976000000,28.25,28.25
42,TTWO,Domestic Common Stock,Communication Services,0.11273115076523398,0.05226450458958043,-0.051734570391286816,37.0,-0.1459224800170157,1188,1253,1221632167.020079,66130075.53000001,66130075.53000001,7.043257193099246,155587000,28.21,18.807
43,TXT,Domestic Common Stock,Industrials,0.11254940711629054,0.09427930509369567,0.16916399710654195,171.0,0.980609495316114,309,346,7170184372.150228,29243279.0,29243279.0,69.43930144839688,2243000000,52.39,26.195
44,BLS,Domestic Common Stock,Communication Services,0.1116300976982434,0.13687832907263936,0.07602129849210293,113.0,0.2118459563045144,48,57,49825272168.39946,145899271.6,145899271.6,141.36040497095712,5728000000,26.96,26.96
45,VZ,Domestic Common Stock Primary Class,Communication Services,0.11160647042503784,0.10695122727361915,-0.050282653972032576,40.0,0.49912544137971065,19,22,92154155228.01677,284228767.0,284228767.0,467.9347136500634,17155000000,33.37,33.37
46,LNC,Domestic Common Stock Primary Class,Financial Services,0.11099749754567902,0.1013842431888793,0.09437637771056528,126.0,-0.06152566315670419,316,354,7087610238.025816,36174650.0,36174650.0,38.744210550969676,1268849000,39.82,39.82
47,RDN,Domestic Common Stock,Financial Services,0.11070006618272335,0.09854261994154585,0.0033092737837769892,68.0,0.1431069231729085,454,497,4567242075.225666,24988223.0,24988223.0,6.180231472023985,347184000,48.62,48.62
48,RSHCQ,Domestic Common Stock,Consumer Cyclical,0.10981330710672685,0.08523584100127851,-0.09059477098791746,30.0,0.005268935824525411,445,488,4711632985.400779,47966819.7,47966819.7,31.161865825570064,1063600000,28.71,28.71
49,AAP,Domestic Common Stock,Consumer Cyclical,0.10931797384420264,0.09559012302725681,0.04674269492437921,87.0,0.14585859694229517,659,711,2834602482.1281776,38513888.0,38513888.0,18.27820539732364,849323000,76.8,25.6
50,KMG1,Domestic Common Stock,Energy,0.10276355923938646,0.0874954472183943,0.031245240875171332,79.0,0.4301112176855663,264,299,8946751229.76491,102085127.65669999,102085127.65669999,22.856662030771755,1006100000,87.78,43.89
51,SWY,Domestic Common Stock,Consumer Defensive,0.10157285647921627,0.11982996980297078,-0.1820252537756879,8.0,0.7436811442425459,267,302,8845867204.530672,71578490.7,71578490.7,209.00042330649566,7778300000,20.0,20.0
52,SPGI,Domestic Common Stock,Financial Services,0.0997029972740416,0.16239224233374927,0.09451327433628331,127.0,0.0012325747098838288,176,204,12876403268.713476,40519954.5,40519954.5,29.01548977136923,1622606000,66.93,33.465
53,ELV,Domestic Common Stock Primary Class,Healthcare,0.09858078162052526,0.12189265061097244,-0.028573376977632403,47.0,0.14549558113593142,239,273,9956301663.118933,105747025.5,105747025.5,70.17012366491937,4261800000,72.0,36.0
54,AT1,Domestic Common Stock,Communication Services,0.09846043504391186,0.0985662837162876,-0.013672105598715234,55.0,0.3749165872879971,164,191,14171174435.47469,52274259.12890001,52274259.12890001,36.914050101846186,2050200000,45.04,45.04
55,HAS,Domestic Common Stock,Consumer Cyclical,0.09720658588174001,-0.1209702200313466,0.060215946843853896,99.0,0.20749845371860434,555,603,3425107434.644944,24836928.0,24836928.0,33.51631770546085,971071000,19.63,19.63
56,AAI,Domestic Common Stock,Industrials,0.09670729757257816,-0.0505442298340793,-0.21188260558339267,6.0,0.0020087629224278133,1387,1458,926238270.0,34208338.1,34208338.1,3.9553172338462637,237311000,11.01,11.01
57,EOG,Domestic Common Stock,Energy,0.09592021465183713,0.0962798907217767,0.056514476614698994,96.0,0.1723919702150049,405,448,5154638172.930009,40298217.4,40298217.4,11.663005813365103,458724000,44.79,11.197
58,VRX1,Domestic Common Stock,Healthcare,0.09516943663848765,0.09970065313047557,0.3526505463845617,195.0,0.09536880268673362,844,904,2015794216.8842976,26244991.0,26244991.0,6.159359132332394,167507000,24.26,24.26
59,SPXC,Domestic Common Stock,Industrials,0.09492846583519239,0.09547253628478358,0.10726278422719027,136.0,0.5869352572511319,478,521,4227393716.6192765,31879816.4,31879816.4,25.482250224968386,1241900000,55.5,55.5
60,OXY,Domestic Common Stock Primary Class,Energy,0.0916343497287899,0.12660270766294796,0.11665152203543783,150.0,0.292945161186089,153,178,15070767720.700201,52439039.5,52439039.5,100.72541421403962,2349000000,38.87,19.435
61,M,Domestic Common Stock,Consumer Cyclical,0.09137033636309566,0.17971439406957926,0.06069518716577571,100.0,0.42398500713639653,271,307,8591409764.329819,103791549.5,103791549.5,121.56473412691389,3434000000,47.0,23.5
62,SANM,Domestic Common Stock,Technology,0.09131226181138277,0.05461171232082094,0.20111731843575487,183.0,0.1555681179144902,387,428,5561224636.5,75497731.8,75497731.8,46.94112399206194,2732013000,10.75,64.5
63,MRO,Domestic Common Stock,Energy,0.09055555823281049,0.10493112193836673,0.08356890459363919,120.0,0.43546748576249955,249,284,9530061067.939108,57849891.65,57849891.65,216.21012010012427,10328000000,30.46,15.23
